Country,Issuer,Denomination,Subject,Krause Number,Year,Mintmark,Grade,"Value, USD (CoinSnap) ",Composition,Obverse photo,Reverse photo,Value (MY),Note,Custom set
France,France,2 francs,Common series,,1950,B,VF,$ 0.26,Aluminium,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/ed38f0a9-e7e0-4985-9b8f-1a6c90718c8d.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/e9ab7249-ecb9-49ef-a82c-4c9d49f535b6.png,,,
France,France,100 francs,Common series,KM# 919,1955,No mintmark,AU,$ 1.22,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/afb53b20-333b-4635-8fd6-98be0fb5ef9b.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/e30b0e69-9215-497e-881b-5e532cd3fb4a.png,,,
France,France,2 francs,Common series,KM# 942.1,1998,Reeded edge,AU,$ 0.5,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/a137cbe1-5426-4b69-9c4e-8a87c849355a.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/214a608a-f69c-452d-903f-c65466a1545b.png,,,
France,France,50 francs,Common series,KM# 918,1953,No mintmark,VF,$ 0.56,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/de725c86-1aa0-4b01-ad0c-d85d6c15e8b6.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/52bdc715-3e0e-479d-87a6-8b25dd3fc935.png,,,
France,France,2 francs,Common series,,1947,No mintmark,VF,$ 0.28,Aluminium,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/4d25ac73-3de4-4891-926e-57032a47d98c.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/aca5ce00-294e-4673-8607-a4b031928a98.png,,,
France,France,10 francs,Common series,KM# 909,1949,No mintmark,XF,$ 0.53,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/726897e9-99f5-490c-964d-41a5d9a0e798.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/21e76464-5b4c-4e6b-8127-60b35226c5b7.png,,,
France,France,1 franc,30th Anniversary - Fifth Republic,KM# 963,1988,No mintmark,AU,$ 0.81,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/a500c50a-2f73-4c2b-a8a6-8f497eb12846.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/f6e23359-6b75-438e-b159-b6d380c55269.png,,,
France,France,10 francs,Common series,KM# 940,1979,No mintmark,AU,$ 0.25,Copper-Aluminium-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/a6157730-27a4-4268-b498-a8afd3201d4f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/1854f6f6-5ea9-4156-a537-76b7dfdca4d3.png,,,
France,France,50 centimes,Common series,KM# 914,1942,No mintmark,VF30,$ 0.43,Aluminium,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/90506f7e-1090-4304-abcc-ef7ec3db373d.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/0eb0393f-8abb-4fe5-a69b-3cf0b5422c37.png,,,
France,France,100 francs,Common series,KM# 919,1955,B,AU,$ 0.65,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/f5dfad17-88e4-4673-8911-24ed069d74a7.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/5c0300f3-650f-4a76-b4e8-078e1df320f0.png,,,
Iraq,Iraq,10 fils,Common series,KM# 126a,1975,No mintmark,AU,$ 0.83,Stainless Steel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/167463b1-a058-421b-8da5-8d76090a169f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/92f1db69-3c4c-4f00-ad26-b5df8ffc3af3.png,,,
Thailand,Thailand,5 baht,Common series,,1979,No mintmark,AU,$ 0.89,Copper-Nickel plated Copper,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/54ea1266-8180-4826-a08d-89dbcd7d0652.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/fb5f279e-d492-46d3-b570-0006bfd2b30a.png,,,
